dataset,samples,duration_s,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,rmse_x_m,rmse_y_m,rmse_z_m
shadow_hand_circle_tracking,4714,94.2479999999431,0.0006620359944146249,0.0005616336732875803,0.0004650105134324902,0.0011064528879454474,0.0015279614233415857,0.0005543447751093889,0.00022888874650802874,0.00028036310372705185
wuji_hand_circle_tracking,4714,94.24799999994777,0.0019479951300802073,0.0016370815029437718,0.0013492458168232998,0.003904783419028695,0.004674951804506943,0.0009077989318171302,0.0016833826503420673,0.0003698769778388467
