hand,sample,simulation_time_s,tracking_time_s,loop_progress,desired_x_m,desired_y_m,desired_z_m,measured_x_m,measured_y_m,measured_z_m,error_x_m,error_y_m,error_z_m,error_norm_m
shadow_hand,0,7.999999999999341,0.0,0.0,0.4022326460182859,0.05584579807340315,-0.07847132143305678,0.4009656455154117,0.05531206010816783,-0.07908708247388317,-0.0012670005028742048,-0.0005337379652353147,-0.0006157610408263903,0.0015064289393186196
shadow_hand,1,8.019999999999348,0.01999999999934765,0.0006366197723468165,0.4022326060183392,0.055865798020069204,-0.07847132143305678,0.4009560768400301,0.05531031032324801,-0.07909142913634343,-0.001276529178309116,-0.0005554876968211914,-0.0006201077032866459,0.0015240166954694745
shadow_hand,2,8.039999999999354,0.03999999999935433,0.0012732395447146105,0.40223248601913925,0.0558857976467372,-0.07847132143305678,0.400951068552496,0.05532109029564942,-0.07908266503123142,-0.001281417466643231,-0.0005647073510877815,-0.0006113435981746351,0.0015279614233415857
shadow_hand,3,8.059999999999361,0.05999999999936101,0.0019098593170824047,0.40223228602260586,0.05590579663341288,-0.07847132143305678,0.40095185199680217,0.05536017826948297,-0.07904526939664706,-0.0012804340258036895,-0.0005456183639299117,-0.0005739479635902822,0.0015055321180243314
shadow_hand,4,8.079999999999368,0.07999999999936769,0.0025464790894501985,0.40223200603193915,0.055925794660112875,-0.07847132143305678,0.40096143422605013,0.055429042128526264,-0.0789746295007028,-0.0012705718058890203,-0.0004967525315866111,-0.0005033080676460217,0.0014541096253430708
shadow_hand,5,8.099999999999374,0.09999999999937437,0.0031830988618179925,0.4022316460516188,0.055945791406869186,-0.07847132143305678,0.40098247737606474,0.055521592489658725,-0.0788762002018278,-0.0012491686755540798,-0.000424198917210461,-0.00040487876877101647,0.0013799615642290895
shadow_hand,6,8.119999999999381,0.11999999999938105,0.0038197186341857865,0.4022312060874046,0.0559657865537343,-0.07847132143305678,0.40101041955039607,0.05562529684656156,-0.07876309909724065,-0.0012207865370085225,-0.0003404897071727364,-0.00029177766418386764,0.001300533434767607
shadow_hand,7,8.139999999999388,0.13999999999938773,0.0044563384065535805,0.4022306861463359,0.05598577978078629,-0.07847132143305678,0.4010406041320829,0.05572826563168917,-0.07864869824516643,-0.0011900820142529689,-0.00025751414909711695,-0.00017737681210965028,0.0012304760343492263
shadow_hand,8,8.159999999999394,0.1599999999993944,0.005092958178921374,0.4022300862367318,0.05600577076813394,-0.07847132143305678,0.4010702328724298,0.05582210018980517,-0.0785430646787768,-0.001159853364301966,-0.00018367057832877065,-7.17432457200129e-05,0.001176495559419013
shadow_hand,9,8.179999999999401,0.17999999999940108,0.0057295779512891686,0.4022294063681908,0.05602575919592189,-0.07847132143305678,0.4010977791761804,0.05590201874363616,-0.07845236586895026,-0.0011316271920104315,-0.00012374045228573383,1.8955564106526435e-05,0.001138530243181923
shadow_hand,10,8.199999999999408,0.19999999999940776,0.006366197723656962,0.4022286465515908,0.056045744744335727,-0.07847132143305678,0.4011225366357281,0.05596630422699361,-0.07837927731343508,-0.0011061099158626853,-7.944051734211366e-05,9.204411962170089e-05,0.0011127722416210215
