hand,sample,simulation_time_s,tracking_time_s,loop_progress,desired_x_m,desired_y_m,desired_z_m,measured_x_m,measured_y_m,measured_z_m,error_x_m,error_y_m,error_z_m,error_norm_m
wuji_hand,0,5.999999999999561,0.0,0.0,0.2403983358151883,0.07774913110055143,-0.09246076266139983,0.23879247791253785,0.07674625303112807,-0.09296774974792446,-0.0016058579026504427,-0.0010028780694233547,-0.0005069870865246351,0.001959994880487684
wuji_hand,1,6.019999999999559,0.019999999999559037,0.0006366197723535451,0.24039829581524164,0.0777691310472177,-0.09246076266139983,0.23878608121962083,0.07671213357697779,-0.09300370387868044,-0.0016122145956208034,-0.0010569974702399065,-0.0005429412172806153,0.0020028142000316626
wuji_hand,2,6.039999999999557,0.039999999999556834,0.0012732395447210565,0.24039817581604161,0.07778913067388568,-0.09246076266139983,0.23877830644197004,0.07667904312737064,-0.09303586269542084,-0.0016198693740715753,-0.0011100875465150373,-0.0005751000340210172,0.002046218756417257
wuji_hand,3,6.059999999999555,0.05999999999955463,0.0019098593170885677,0.24039797581950828,0.07780912966056135,-0.09246076266139983,0.2387960356487198,0.07665784187982436,-0.09306257351698821,-0.0016019401707884906,-0.0011512877807369898,-0.0006018108555883861,0.0020624868898405603
wuji_hand,4,6.079999999999552,0.07999999999955243,0.0025464790894560788,0.24039769582884152,0.07782912768726134,-0.09246076266139983,0.23888965931701597,0.07672238163360748,-0.09302942348016943,-0.0015080365118255445,-0.0011067460536538648,-0.0005686608187696063,0.0019551051314650775
wuji_hand,5,6.09999999999955,0.09999999999955023,0.0031830988618235904,0.2403973358485212,0.07784912443401765,-0.09246076266139983,0.2391136604649555,0.07690042694868221,-0.0929048585948492,-0.001283675383565691,-0.0009486974853354369,-0.0004440959334493788,0.0016568254606809316
wuji_hand,6,6.119999999999548,0.11999999999954802,0.0038197186341911017,0.240396895884307,0.07786911958088275,-0.09246076266139983,0.23925628458286985,0.07711186053820404,-0.09279225828950924,-0.0011406113014371388,-0.000757259042678704,-0.0003314956281094128,0.0014086606227691769
wuji_hand,7,6.139999999999546,0.13999999999954582,0.004456338406558613,0.2403963759432383,0.07788911280793473,-0.09246076266139983,0.23947825941818557,0.0773406354985068,-0.09267841660945875,-0.0009181165250527201,-0.0005484773094279333,-0.00021765394805892124,0.0010913929419039791
wuji_hand,8,6.159999999999544,0.15999999999954362,0.005092958178926125,0.24039577603363418,0.07790910379528238,-0.09246076266139983,0.23933059099726361,0.07752970445841742,-0.09263456307255223,-0.0010651850363705695,-0.0003793993368649551,-0.00017380041115240552,0.0011440146858489554
wuji_hand,9,6.179999999999541,0.17999999999954142,0.0057295779512936355,0.2403950961650932,0.07792909222307032,-0.09246076266139983,0.2392083296606529,0.07767259694152445,-0.09259998094707939,-0.0011867665044403009,-0.00025649528154586543,-0.00013921828567955985,0.0012221236830142436
wuji_hand,10,6.199999999999539,0.1999999999995392,0.006366197723661147,0.2403943363484932,0.07794907777148413,-0.09246076266139983,0.23946323092542648,0.07775565819606509,-0.09253894550268815,-0.0009311054230667082,-0.00019341957541904597,-7.818284128832675e-05,0.0009541912794044145
wuji_hand,11,6.219999999999537,0.219999999999537,0.007002817496028658,0.24039349659599127,0.0779690601207555,-0.09246076266139983,0.23969588473055498,0.07780733958060124,-0.09250319610197666,-0.0006976118654362928,-0.00016172054015425874,-4.24334405768334e-05,0.0007173677193632825
